Bauhaus-Akteure	1/31/19	Walter Gropius	Schreiben von Walter Gropius an den Oberhofmarshall Freiherr von Fritsch vom 31. Januar 1919	Darf ich […] die Bitte aussprechen, mir mitteilen zu wollen, ob in absehbarer Zeit an die Besetzung des freien Direktorenpostens geschritten wird? Ich war seit Kriegsbeginn im Felde, bin nun wieder im Begriff, mir mein Leben wieder neu aufzubauen und stehe vor der Frage, ob ich mich nach einer andern Seite hin, wo sich mir eine Möglichkeit, die mich freilich weniger lockt, bietet, binden soll. Ich habe mich in die Idee der Neugestaltung eines künstlerischen Lebens in Weimar seit langem vertieft und habe ganz bestimmte Pläne dafür.	Noch unter der alten Regierung hat sein Jahren das Ministerium in Weimar mit Verhandlungen angeknüpft für eine eventuelle Übersiedlung meinerseits nach Weimar als Nachfolger van de Veldes. […] Darf ich daher heute die Bitte aussprechen, mir mitteilen zu wollen, ob in absehbarer Zeit an die Besetzung des freien Direktorenpostens geschritten wird? Ich war seit Kriegsbeginn im Felde, bin nun wieder im Begriff, mir mein Leben wieder neu aufzubauen und stehe vor der Frage, ob ich mich nach einer andern Seite hin, wo sich mir eine Möglichkeit, die mich freilich weniger lockt, bietet, binden soll. Ich habe mich in die Idee der Neugestaltung eines künstlerischen Lebens in Weimar seit langem vertieft und habe ganz bestimmte Pläne dafür […]			Frank Whitford (Hg.), Das Bauhaus. Selbstzeugnisse von Meistern und Studenten, Stuttgart 1993, S. 32f..		
Bauhaus-Akteure	4/12/19	Walter Gropius	Schreiben von Walter Gropius an das Hofmarschallamt vom 12. April 1919	Ich gebe zur Kenntnis, daß ich gestern die Leitung der Hochschule und der Kunstgewerbeschule ordnungsgemäß von dem bisherigen stellvertretenden Direktor Herrn Professor Thedy übernommen habe.	Ich gebe zur Kenntnis, daß ich gestern die Leitung der Hochschule und der Kunstgewerbeschule ordnungsgemäß von dem bisherigen stellvertretenden Direktor Herrn Professor Thedy übernommen habe.			Volker Wahl (Hg.), Das Staatliche Bauhaus in Weimar. Dokumente zur Geschichte des Instituts 1919-1926, 2009, S. 84.	Thüringisches Hauptsaatsarchiv Weimar, Personalakten Volksbildung Nr. 8652 (Walter Gropius), Bl. 29.	
Bauhaus-Akteure	4/14/19	Walter Gropius	Privatschreiben von Walter Gropius an Ernst Hardt vom 14. April 1919	Ich komme mit Ungestüm nach Weimar mit dem festen Vorsatz, aus meiner Sache ein Ganzes zu machen, oder, wenn das nicht gelingt, wieder schnell zu verschwinden.	Ich komme mit Ungestüm nach Weimar mit dem festen Vorsatz, aus meiner Sache ein Ganzes zu machen, oder, wenn das nicht gelingt, wieder schnell zu verschwinden. Diese ungeheuer interessante, ideengeschwängerte Zeit ist reif dafür zu etwas positiv Neuem zusammengehämmert zu werden, ich spüre das auf Schritt und Tritt. Wir Gleichgestimmten müssen unter einander wirklich wollen und uns nichts Kleines vornehmen, es muß ein geistiger Zusammenschluß all den materiellen Widrigkeiten zum Trotz gelingen […]. Meine Idee von Weimar ist keine kleine, ich sehe gerade in dem Punkt der alten, schwerüberwindlichen Tradition die Möglichkeit, fruchtbare Reibungsflächen für das Neue zu schaffen. Ich glaube bestimmt, daß Weimar gerade um seiner Weltbekanntheit willen, der geeignetste Boden ist, um dort den Grundstein einer Republik der Geister zu legen.			Volker Wahl (Hg.), Das Staatliche Bauhaus in Weimar. Dokumente zur Geschichte des Instituts 1919-1926, 2009, S. 87f.	Briefe an Ernst Hardt. Eine Auswahl aus den Jahren 1898-1947. Herausgegeben von Jochen Meyer. Marbach am Necker 1975, S. 109f.	
Bauhaus-Akteure	4/14/19	Walter Gropius	Privatschreiben von Walter Gropius an Ernst Hardt vom 14. April 1919	Diese ungeheuer interessante, ideengeschwängerte Zeit ist reif dafür zu etwas positiv Neuem zusammengehämmert zu werden, ich spüre das auf Schritt und Tritt.	Ich komme mit Ungestüm nach Weimar mit dem festen Vorsatz, aus meiner Sache ein Ganzes zu machen, oder, wenn das nicht gelingt, wieder schnell zu verschwinden. Diese ungeheuer interessante, ideengeschwängerte Zeit ist reif dafür zu etwas positiv Neuem zusammengehämmert zu werden, ich spüre das auf Schritt und Tritt. Wir Gleichgestimmten müssen unter einander wirklich wollen und uns nichts Kleines vornehmen, es muß ein geistiger Zusammenschluß all den materiellen Widrigkeiten zum Trotz gelingen […]. Meine Idee von Weimar ist keine kleine, ich sehe gerade in dem Punkt der alten, schwerüberwindlichen Tradition die Möglichkeit, fruchtbare Reibungsflächen für das Neue zu schaffen. Ich glaube bestimmt, daß Weimar gerade um seiner Weltbekanntheit willen, der geeignetste Boden ist, um dort den Grundstein einer Republik der Geister zu legen.			Volker Wahl (Hg.), Das Staatliche Bauhaus in Weimar. Dokumente zur Geschichte des Instituts 1919-1926, 2009, S. 87f.	Briefe an Ernst Hardt. Eine Auswahl aus den Jahren 1898-1947. Herausgegeben von Jochen Meyer. Marbach am Necker 1975, S. 109f.	
Externe	12/14/19	Leonhard Schrickel	Artikel von Leonhard Schrickel in der Weimarischen Landeszeitung Deutschland vom 14. Dezember 1919	Der Jugend ihr Recht! Der Most will gären! Das gilt heute wie immer und ist eine Forderung ganz im Rahmen des „Geistes von Weimar“. Aber dieser Most bedarf der Pflege und der Aufsicht Erfahrener, diese Jugend bedarf der Schulbänke, nicht der Öffentlichkeit.	Der Jugend ihr Recht! Der Most will gären! Das gilt heute wie immer und ist eine Forderung ganz im Rahmen des „Geistes von Weimar“. Aber dieser Most bedarf der Pflege und der Aufsicht Erfahrener, diese Jugend bedarf der Schulbänke, nicht der Öffentlichkeit. Ganz ohne Zweifel: Der Expressionismus und Dadaismus usw., sie haben ihre, wenn auch vielleicht noch problematische Daseinsberechtigung – aber sie haben kein Recht, sich an die Stelle gereifter Kunst zu setzen. Zu weit gegangen ist es freilich, wenn man die jüngsten Explosionen einer geistig-künstlerischen Revolution oder Rebellion den Irrenärzten zur Weiterbildung empfiehlt; es sind gewiß, wie letzten Endes eben alles elementare Hervorbrechende, die Bande der Tradition sprengende Leben eines starken Frühlings, anormale Erscheinungen, Fieberzustände, aber sie dürfen nicht als Geisteskrankheiten angesprochen, sondern können höchsten mit Pubertätsmerkmalen verglichen werden. All’ diese so heftig auf nicht-expressionistische und nicht-dadaistische Meinungen reagierenden Jünglinge und Jungfrauen dürften körperlich oder geistig in jener Entwicklungsperiode stehen, die wir alle einmal durchgemacht haben und die solche Erscheinungen und Merkmale zutage fördert. Symptome, die man bisher aber nicht an die Öffentlichkeit zu tragen pflegte. Dafür liegt auch heute eigentlich kein zwingender Grund vor.			Volker Wahl (Hg.), Das Staatliche Bauhaus in Weimar. Dokumente zur Geschichte des Instituts 1919-1926, 2009, S. 526f.	Weimarische Landeszeitung Deutschland Nr. 342/1919 vom 14. Dezember 1919	
Bauhaus-Akteure	4/14/19	Walter Gropius	Privatschreiben von Walter Gropius an Ernst Hardt vom 14. April 1919	Meine Idee von Weimar ist keine kleine, ich sehe gerade in dem Punkt der alten, schwerüberwindlichen Tradition die Möglichkeit, fruchtbare Reibungsflächen für das Neue zu schaffen.	Ich komme mit Ungestüm nach Weimar mit dem festen Vorsatz, aus meiner Sache ein Ganzes zu machen, oder, wenn das nicht gelingt, wieder schnell zu verschwinden. Diese ungeheuer interessante, ideengeschwängerte Zeit ist reif dafür zu etwas positiv Neuem zusammengehämmert zu werden, ich spüre das auf Schritt und Tritt. Wir Gleichgestimmten müssen unter einander wirklich wollen und uns nichts Kleines vornehmen, es muß ein geistiger Zusammenschluß all den materiellen Widrigkeiten zum Trotz gelingen […]. Meine Idee von Weimar ist keine kleine, ich sehe gerade in dem Punkt der alten, schwerüberwindlichen Tradition die Möglichkeit, fruchtbare Reibungsflächen für das Neue zu schaffen. Ich glaube bestimmt, daß Weimar gerade um seiner Weltbekanntheit willen, der geeignetste Boden ist, um dort den Grundstein einer Republik der Geister zu legen.			Volker Wahl (Hg.), Das Staatliche Bauhaus in Weimar. Dokumente zur Geschichte des Instituts 1919-1926, 2009, S. 87f.	Briefe an Ernst Hardt. Eine Auswahl aus den Jahren 1898-1947. Herausgegeben von Jochen Meyer. Marbach am Necker 1975, S. 109f.	
Externe	12/14/19	Leonhard Schrickel	Artikel von Leonhard Schrickel in der Weimarischen Landeszeitung Deutschland vom 14. Dezember 1919	Ganz ohne Zweifel: Der Expressionismus und Dadaismus usw., sie haben ihre, wenn auch vielleicht noch problematische Daseinsberechtigung – aber sie haben kein Recht, sich an die Stelle gereifter Kunst zu setzen.	Der Jugend ihr Recht! Der Most will gären! Das gilt heute wie immer und ist eine Forderung ganz im Rahmen des „Geistes von Weimar“. Aber dieser Most bedarf der Pflege und der Aufsicht Erfahrener, diese Jugend bedarf der Schulbänke, nicht der Öffentlichkeit. Ganz ohne Zweifel: Der Expressionismus und Dadaismus usw., sie haben ihre, wenn auch vielleicht noch problematische Daseinsberechtigung – aber sie haben kein Recht, sich an die Stelle gereifter Kunst zu setzen. Zu weit gegangen ist es freilich, wenn man die jüngsten Explosionen einer geistig-künstlerischen Revolution oder Rebellion den Irrenärzten zur Weiterbildung empfiehlt; es sind gewiß, wie letzten Endes eben alles elementare Hervorbrechende, die Bande der Tradition sprengende Leben eines starken Frühlings, anormale Erscheinungen, Fieberzustände, aber sie dürfen nicht als Geisteskrankheiten angesprochen, sondern können höchsten mit Pubertätsmerkmalen verglichen werden. All’ diese so heftig auf nicht-expressionistische und nicht-dadaistische Meinungen reagierenden Jünglinge und Jungfrauen dürften körperlich oder geistig in jener Entwicklungsperiode stehen, die wir alle einmal durchgemacht haben und die solche Erscheinungen und Merkmale zutage fördert. Symptome, die man bisher aber nicht an die Öffentlichkeit zu tragen pflegte. Dafür liegt auch heute eigentlich kein zwingender Grund vor.			Volker Wahl (Hg.), Das Staatliche Bauhaus in Weimar. Dokumente zur Geschichte des Instituts 1919-1926, 2009, S. 526f.	Weimarische Landeszeitung Deutschland Nr. 342/1919 vom 14. Dezember 1919	
Bauhaus-Akteure	4/14/19	Walter Gropius	Privatschreiben von Walter Gropius an Ernst Hardt vom 14. April 1919	Ich glaube bestimmt, daß Weimar gerade um seiner Weltbekanntheit willen, der geeignetste Boden ist, um dort den Grundstein einer Republik der Geister zu legen.	Ich komme mit Ungestüm nach Weimar mit dem festen Vorsatz, aus meiner Sache ein Ganzes zu machen, oder, wenn das nicht gelingt, wieder schnell zu verschwinden. Diese ungeheuer interessante, ideengeschwängerte Zeit ist reif dafür zu etwas positiv Neuem zusammengehämmert zu werden, ich spüre das auf Schritt und Tritt. Wir Gleichgestimmten müssen unter einander wirklich wollen und uns nichts Kleines vornehmen, es muß ein geistiger Zusammenschluß all den materiellen Widrigkeiten zum Trotz gelingen […]. Meine Idee von Weimar ist keine kleine, ich sehe gerade in dem Punkt der alten, schwerüberwindlichen Tradition die Möglichkeit, fruchtbare Reibungsflächen für das Neue zu schaffen. Ich glaube bestimmt, daß Weimar gerade um seiner Weltbekanntheit willen, der geeignetste Boden ist, um dort den Grundstein einer Republik der Geister zu legen.			Volker Wahl (Hg.), Das Staatliche Bauhaus in Weimar. Dokumente zur Geschichte des Instituts 1919-1926, 2009, S. 87f.	Briefe an Ernst Hardt. Eine Auswahl aus den Jahren 1898-1947. Herausgegeben von Jochen Meyer. Marbach am Necker 1975, S. 109f.	
Externe	12/14/19	Leonhard Schrickel	Artikel von Leonhard Schrickel in der Weimarischen Landeszeitung Deutschland vom 14. Dezember 1919	Zu weit gegangen ist es freilich, wenn man die jüngsten Explosionen einer geistig-künstlerischen Revolution oder Rebellion den Irrenärzten zur Weiterbildung empfiehlt; es sind gewiß, wie letzten Endes eben alles elementare Hervorbrechende, die Bande der Tradition sprengende Leben eines starken Frühlings, anormale Erscheinungen, Fieberzustände, aber sie dürfen nicht als Geisteskrankheiten angesprochen, sondern können höchsten mit Pubertätsmerkmalen verglichen werden.	Der Jugend ihr Recht! Der Most will gären! Das gilt heute wie immer und ist eine Forderung ganz im Rahmen des „Geistes von Weimar“. Aber dieser Most bedarf der Pflege und der Aufsicht Erfahrener, diese Jugend bedarf der Schulbänke, nicht der Öffentlichkeit. Ganz ohne Zweifel: Der Expressionismus und Dadaismus usw., sie haben ihre, wenn auch vielleicht noch problematische Daseinsberechtigung – aber sie haben kein Recht, sich an die Stelle gereifter Kunst zu setzen. Zu weit gegangen ist es freilich, wenn man die jüngsten Explosionen einer geistig-künstlerischen Revolution oder Rebellion den Irrenärzten zur Weiterbildung empfiehlt; es sind gewiß, wie letzten Endes eben alles elementare Hervorbrechende, die Bande der Tradition sprengende Leben eines starken Frühlings, anormale Erscheinungen, Fieberzustände, aber sie dürfen nicht als Geisteskrankheiten angesprochen, sondern können höchsten mit Pubertätsmerkmalen verglichen werden. All’ diese so heftig auf nicht-expressionistische und nicht-dadaistische Meinungen reagierenden Jünglinge und Jungfrauen dürften körperlich oder geistig in jener Entwicklungsperiode stehen, die wir alle einmal durchgemacht haben und die solche Erscheinungen und Merkmale zutage fördert. Symptome, die man bisher aber nicht an die Öffentlichkeit zu tragen pflegte. Dafür liegt auch heute eigentlich kein zwingender Grund vor.			Volker Wahl (Hg.), Das Staatliche Bauhaus in Weimar. Dokumente zur Geschichte des Instituts 1919-1926, 2009, S. 526f.	Weimarische Landeszeitung Deutschland Nr. 342/1919 vom 14. Dezember 1919	
Bauhaus-Akteure	10/1/19	Walter Gropius	Brief vom 1. Oktober 1919 an den Redakteur des Berliner Tageblatts Max Osborn in Berlin	Mein Bauhaus schält sich langsam aus dem Ei, aber die Schwierigkeiten, die aus dem fossilen Zustand des Weimarer Bürgers erblühen, sind von groteskem Ausmaß.	Mein Bauhaus schält sich langsam aus dem Ei, aber die Schwierigkeiten, die aus dem fossilen Zustand des Weimarer Bürgers erblühen, sind von groteskem Ausmaß.			Volker Wahl (Hg.), Das Staatliche Bauhaus in Weimar. Dokumente zur Geschichte des Instituts 1919-1926, 2009, S. 519	Thüringisches Hauptsaatsarchiv Weimar, Staatliches Bauhaus Weimar Nr. 6, Bl. 186.	
